Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
4.8,I-10,6.0,5,5
16.5,D-12,14.0,6,6
14.5,D-12,14.0,7,6
0.35,MPCHS Multi Gardens,1.8,1,1
2.4,MPCHS Multi Gardens,5.0,4,4
2.45,B-17,5.0,4,4
0.55,B-17,3.5,2,2
12.0,DHA Defence,20.0,6,7
3.2,Gulberg Greens,7.2,2,2
9.0,G-13,10.0,6,6
8.75,G-13,10.9,6,6
55.0,F-7,46.0,5,6
75.0,F-6,64.0,4,5
6.05,Eighteen,7.2,2,2
45.0,F-7,40.0,5,6
19.9,F-6,16.0,5,6
34.5,F-6,26.0,5,6
4.25,D-12,4.0,4,4
11.8,DHA Defence,20.0,6,6
2.85,DHA Defence,10.0,3,3
1.51,Park View City,2.4,1,1
110.00000000000001,Chak Shahzad,440.0,7,7
12.0,D-12,10.0,6,6
4.5,D-12,4.4,4,4
0.52,MPCHS Multi Gardens,3.4,2,2
2.6,B-17,5.0,4,4
3.6,MPCHS Multi Gardens,8.0,4,6
0.7,MPCHS Multi Gardens,3.7,2,2
3.28,Mumtaz City,10.0,3,3
6.78,Diplomatic Enclave,5.7,2,2
18.0,D-12,20.0,9,6
5.5,Blue Area,4.4,1,1
15.5,D-12,14.0,5,5
9.75,D-12,8.0,7,6
13.5,D-12,10.0,5,5
7.75,Multi Residencia & Orchards - Block C,100.0,6,6
75.0,E-7,32.0,6,7
18.0,F-10,24.0,7,6
90.0,F-7,80.0,6,6
8.35,D-12,8.0,7,6
12.2,DHA Defence,20.0,5,6
2.39,E-11,6.2,3,3
3.65,F-18,8.0,4,4
1.58,H-13,4.4,2,2
5.25,CBR Town,14.0,7,7
5.35,D-12,5.0,4,4
6.75,DHA Defence,10.0,5,5
8.3,MPCHS Multi Gardens,20.0,6,7
0.7,MPCHS Multi Gardens,3.6,2,2
2.5,Jinnah Gardens,7.0,3,4
2.5,Jinnah Gardens,5.0,4,5
3.15,Jinnah Gardens,7.0,5,7
70.0,E-7,38.0,6,6
2.75,Naval Anchorage,5.0,5,6
4.25,Fazaia Housing Scheme,10.0,6,7
3.7,Soan Garden,10.0,6,6
3.1,G-13,4.0,4,4
4.5,Soan Garden,9.0,7,6
3.7,Faisal Town,8.0,5,6
3.7,Faisal Town,8.0,5,6
16.5,G-11,20.0,6,6
2.1,MPCHS Multi Gardens,5.0,4,6
3.5,MPCHS Multi Gardens,8.0,4,6
4.3,MPCHS Multi Gardens,8.0,4,6
4.6,Top City 1,10.0,5,6
4.15,G-13,4.0,4,4
3.4,G-13,4.4,4,5
4.3,B-17,8.0,5,6
12.5,DHA Defence,20.0,5,6
3.4,MPCHS Multi Gardens,8.0,6,6
3.4,Jinnah Gardens,8.0,7,7
4.5,Jinnah Gardens,10.0,3,3
3.4,Jinnah Gardens,7.0,5,6
4.0,B-17,5.0,6,6
3.15,B-17,5.0,5,5
1.1,Faisal Town,5.8,2,2
7.25,Soan Garden,20.0,7,6
6.75,Soan Garden,17.0,7,6
2.95,B-17,5.0,4,4
2.7,B-17,5.0,4,4
9.8,MPCHS Multi Gardens,20.0,5,7
0.64,B-17,4.0,2,2
20.0,G-14,26.0,7,6
5.4,Bahria Enclave,10.0,5,5
2.9,Bahria Enclave,5.0,3,4
12.5,G-10,12.0,8,6
4.65,D-12,4.0,3,5
4.75,D-12,4.0,3,4
70.0,F-7,50.0,5,5
1.6,B-17,4.5,1,1
0.3969,H-13,1.8,1,1
1.45,H-13,5.4,2,2
60.0,Gulberg Greens,200.0,11,7
15.0,DHA Defence,30.0,8,6
4.0,B-17,5.0,6,6
4.0,B-17,5.0,6,6
0.4,Soan Garden,2.4,1,1
18.0,D-12,20.0,5,5
2.6,Mumtaz City,5.6,4,6
1.05,Gulberg Greens,3.3,1,1
4.0,Bahria Enclave,10.0,5,6
4.7,G-14,4.0,4,5
2.3,MPCHS Multi Gardens,5.0,4,5
2.3,MPCHS Multi Gardens,5.0,3,4
2.35,MPCHS Multi Gardens,5.0,5,5
2.0,MPCHS Multi Gardens,5.0,3,4
2.5,MPCHS Multi Gardens,5.0,4,5
8.75,D-12,8.0,4,6
6.25,Eighteen,16.0,4,5
4.5,G-9,6.0,4,5
4.15,Top City 1,10.0,5,6
1.35,Mumtaz City,5.0,2,3
19.5,D-12,20.0,6,7
2.9,I-14,5.0,4,4
85.0,Chak Shahzad,400.0,5,4
0.56,B-17,2.0,1,1
10.0,DHA Defence,20.0,6,6
10.9,DHA Defence,20.0,10,6
5.85,G-13,8.0,5,6
1.4,Airport Green Garden - Block A,5.0,2,3
3.4,Jinnah Gardens,7.0,4,7
2.4,Jinnah Gardens,7.0,2,3
3.75,Jinnah Gardens,7.0,7,6
3.96,B-17,8.0,6,6
6.25,F-11,9.3,3,3
6.3,DHA Defence,12.0,5,6
4.1,G-13,4.0,4,4
1.3,Gulberg Greens,4.7,2,2
8.0,F-11,15.6,4,4
2.4,Bahria Enclave,5.0,5,6
2.8,Bahria Enclave,5.0,3,5
3.65,I-11,5.0,5,5
9.0,E-11,16.0,7,6
9.5,G-9,14.2,6,6
11.5,DHA Defence,20.0,5,6
9.4,MPCHS Multi Gardens,20.0,6,6
4.3,B-17,8.0,6,6
2.02,Bahria Town,6.6,2,2
0.78,DHA Defence,3.6,2,2
1.55,DHA Defence,7.3,3,3
9.5,F-10,13.3,3,4
2.1,MPCHS Multi Gardens,5.0,4,4
6.0,Jinnah Gardens,12.0,6,7
5.8,I-11,8.0,8,6
7.25,Jinnah Gardens,12.0,7,7
10.0,DHA Defence,20.0,6,6
6.85,G-11,8.0,5,5
