,Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
935,5.5,4.080263157894737,20.0,7,6
936,3.1,3.583207547169811,8.0,5,6
937,3.45,3.583207547169811,8.0,5,6
938,3.3,3.583207547169811,8.0,5,6
939,4.25,4.195,10.0,5,6
940,13.9,9.743124363636364,20.0,5,6
941,35.0,15.967727272727274,100.0,8,7
942,36.0,55.45526315789474,22.0,6,6
943,17.5,7.064183673469388,20.0,6,6
944,3.5,4.157913669064748,8.0,5,5
945,4.8,4.157913669064748,10.0,5,6
946,5.5,4.157913669064748,10.0,5,6
947,2.39,6.419117647058823,8.0,3,3
948,0.8,3.5072727272727273,3.4,1,1
949,2.9,4.642857142857143,6.5,2,2
950,2.2,10.833333333333334,4.4,1,1
951,3.3,10.833333333333334,7.3,2,2
952,1.45,6.419117647058823,4.4,2,2
953,27.5,36.195757575757575,20.0,7,7
954,15.0,10.208433734939758,14.2,7,7
955,1.3,1.345,2.6,1,1
956,3.4,3.583207547169811,8.0,5,6
957,6.0,3.286363636363636,14.2,7,6
958,1.2,1.2,4.5,3,3
959,1.05,3.5749999999999997,5.0,2,3
960,4.0,4.080263157894737,15.0,4,4
961,10.75,9.743124363636364,20.0,5,7
962,11.49,9.743124363636364,20.0,5,7
963,25.0,36.195757575757575,20.0,5,6
964,4.25,3.5698529411764706,8.0,5,5
965,1.85,15.967727272727274,5.5,3,3
966,9.0,18.38326530612245,8.7,3,3
967,3.5,3.5749999999999997,7.0,6,6
968,2.45,2.5246153846153847,5.6,5,7
969,0.45,0.6545454545454545,4.1,2,2
970,0.77,2.9976595744680847,2.4,1,1
971,0.95,2.9976595744680847,3.8,2,2
972,8.5,7.064183673469388,10.9,7,7
973,10.5,7.064183673469388,14.2,7,7
974,1.04,1.345,2.6,1,1
975,11.49,9.743124363636364,20.0,5,7
976,10.0,9.743124363636364,20.0,6,7
977,3.15,3.583207547169811,7.0,5,6
978,35.0,18.38326530612245,40.0,6,7
979,60.0,52.91935483870968,26.0,6,7
980,3.0,4.642857142857143,7.3,2,2
981,27.0,52.91935483870968,22.0,5,6
982,9.8,9.743124363636364,20.0,6,6
983,22.0,9.743124363636364,34.0,6,6
984,4.3,4.157913669064748,8.0,5,6
985,1.15,3.5698529411764706,3.3,2,2
986,0.75,3.5698529411764706,1.6,1,1
987,8.5,6.84,20.0,6,6
988,2.0,2.5246153846153847,5.3,2,2
989,7.5,9.666666666666666,7.1,2,2
990,3.4,6.419117647058823,7.6,2,2
991,2.15,1.345,5.3,2,2
992,1.3,1.345,2.7,1,1
993,1.05,15.967727272727274,2.9,1,1
994,1.45,3.286363636363636,4.4,2,2
995,1.9,9.743124363636364,8.7,3,3
996,5.5,15.18939393939394,10.2,3,4
997,45.0,52.91935483870968,26.0,6,7
998,38.0,15.18939393939394,36.0,6,6
999,14.0,15.18939393939394,20.0,3,4
1000,40.0,15.18939393939394,40.0,6,7
1001,72.0,84.7,32.0,6,7
1002,32.0,15.18939393939394,20.0,9,7
1003,175.0,36.195757575757575,80.0,8,6
1004,2.6,2.511978787878788,7.0,5,5
1005,0.55,0.55,3.9,2,2
1006,18.0,9.743124363636364,40.0,5,6
1007,3.35,7.064183673469388,4.0,4,5
1008,3.5,7.064183673469388,4.4,4,5
1009,4.5,8.486666666666666,5.0,5,5
1010,3.15,7.064183673469388,4.0,4,4
1011,7.25,8.066666666666666,7.0,5,7
1012,1.3,1.18,8.0,3,4
1013,6.5,4.195,12.0,6,6
1014,6.25,6.25,9.0,6,6
1015,50.0,55.45526315789474,42.0,6,6
1016,3.9,8.486666666666666,4.0,4,5
1017,6.5,7.064183673469388,8.0,6,6
1018,24.0,15.18939393939394,26.0,6,7
1019,115.0,52.91935483870968,42.0,6,6
1020,9.0,9.0,18.7,4,5
1021,45.0,18.38326530612245,40.0,7,7
1022,28.0,18.38326530612245,20.0,5,7
1023,32.0,36.195757575757575,22.0,5,5
1024,19.5,15.18939393939394,20.0,6,6
1025,32.0,15.18939393939394,20.0,7,7
1026,0.52,0.6545454545454545,4.1,2,2
1027,11.5,9.743124363636364,20.0,6,6
1028,13.23,18.38326530612245,11.7,4,5
1029,33.0,36.195757575757575,24.0,6,6
1030,45.0,36.195757575757575,40.0,9,7
1031,18.0,11.531578947368422,12.0,7,7
1032,9.3,9.743124363636364,20.0,6,6
1033,65.0,55.45526315789474,40.0,9,6
1034,0.73,2.9976595744680847,2.3,1,1
1035,3.55,7.064183673469388,4.0,4,3
1036,3.5,8.486666666666666,4.0,4,4
1037,2.9,7.064183673469388,4.0,4,4
1038,7.1,7.064183673469388,8.0,5,6
1039,3.7,8.486666666666666,4.0,4,5
1040,70.0,71.5,66.0,6,7
1041,9.7,15.18939393939394,9.3,7,7
1042,100.0,52.91935483870968,80.0,11,7
1043,40.0,52.91935483870968,20.0,9,7
1044,50.0,71.5,48.0,6,7
1045,135.0,52.91935483870968,80.0,11,7
1046,0.98,2.5811111111111114,6.0,2,2
1047,3.8,5.2,7.0,5,6
1048,35.0,18.38326530612245,40.0,8,7
1049,5.5,11.531578947368422,6.0,5,5
1050,5.5,11.531578947368422,6.0,4,4
1051,11.5,11.531578947368422,14.0,6,6
1052,11.5,11.531578947368422,12.0,6,6
1053,19.0,10.208433734939758,20.0,7,6
1054,5.65,4.157913669064748,10.0,5,6
1055,0.75,0.975,5.0,2,2
1056,1.65,1.18,8.0,3,3
1057,2.35,2.308888888888889,8.5,3,3
1058,12.2,9.743124363636364,20.0,7,6
1059,28.5,10.208433734939758,20.0,8,6
1060,3.15,7.064183673469388,4.0,4,4
1061,1.4,10.208433734939758,4.2,2,2
1062,9.95,9.743124363636364,20.0,5,6
1063,13.5,9.743124363636364,20.0,5,6
1064,11.5,9.743124363636364,20.0,6,6
1065,2.7,2.511978787878788,5.0,4,5
1066,9.5,6.596428571428572,20.0,6,6
1067,2.35,2.511978787878788,5.0,4,5
1068,6.5,7.064183673469388,7.0,4,4
1069,2.3,2.511978787878788,5.0,4,5
1070,2.8,2.511978787878788,5.0,4,5
1071,2.5,2.511978787878788,5.0,4,5
1072,2.25,2.511978787878788,5.0,4,5
1073,4.1,9.743124363636364,13.3,4,5
1074,3.0,4.080263157894737,8.0,4,4
1075,2.5,3.641666666666667,4.0,7,4
1076,1.35,1.18,8.0,3,3
1077,6.5,18.38326530612245,7.8,3,3
1078,0.75,2.9976595744680847,2.4,1,1
1079,3.05,9.743124363636364,10.0,3,4
1080,5.25,4.642857142857143,5.0,5,5
1081,3.55,9.743124363636364,11.9,3,3
1082,13.75,9.743124363636364,20.0,5,7
1083,13.75,9.743124363636364,20.0,5,6
1084,12.5,9.743124363636364,20.0,5,6
1085,6.75,10.208433734939758,4.0,3,3
1086,4.5,10.208433734939758,4.0,3,4
1087,13.0,10.208433734939758,10.0,5,6
1088,5.75,10.208433734939758,5.0,4,4
1089,2.5,2.511978787878788,5.0,4,5
1090,10.85,7.064183673469388,14.0,6,7
1091,6.75,4.080263157894737,20.0,6,6
1092,9.3,7.064183673469388,10.0,6,7
1093,8.15,7.064183673469388,10.0,6,7
1094,8.0,5.2,20.0,6,6
1095,3.1,3.543,6.0,5,6
1096,2.98,3.543,6.0,5,6
1097,3.0,3.286363636363636,7.0,4,6
1098,1.05,2.308888888888889,2.5,1,1
1099,1.85,1.85,6.4,2,3
1100,18.0,11.531578947368422,14.0,5,6
1101,4.15,2.9976595744680847,10.0,5,6
1102,0.55,0.6545454545454545,4.1,2,2
1103,0.5,0.6545454545454545,4.1,2,2
1104,0.5,0.6545454545454545,6.6,2,2
1105,0.74,2.9976595744680847,2.3,1,1
1106,0.7,2.9976595744680847,2.5,1,1
1107,11.5,9.743124363636364,20.0,6,6
1108,14.0,10.208433734939758,10.0,6,6
1109,10.0,10.208433734939758,8.0,4,5
1110,3.9,10.208433734939758,4.0,3,4
1111,11.5,10.208433734939758,10.0,5,6
1112,2.85,6.596428571428572,5.0,4,4
1113,16.5,18.38326530612245,20.0,5,6
1114,3.7,3.583207547169811,8.0,4,6
1115,3.4,3.583207547169811,8.0,5,6
1116,2.6,6.596428571428572,5.0,4,5
1117,8.5,6.596428571428572,20.0,6,6
1118,5.0,7.064183673469388,4.0,4,5
1119,5.25,4.080263157894737,20.0,3,4
1120,3.7,2.9976595744680847,10.0,5,6
1121,0.95,1.2494833333333333,3.8,3,3
1122,125.0,125.0,200.0,6,6
1123,3.01,9.743124363636364,12.2,3,4
